English League 1 1999/2000
Matchday,Date,Home,Away,HomeGoals,AwayGoals
1,1999-08-06 00:00:00,Blackpool,Wrexham,2,1
1,1999-08-06 00:00:00,Bournemouth,Cambridge Utd,2,1
1,1999-08-06 00:00:00,Bristol Rovers,Brentford,0,0
1,1999-08-06 00:00:00,Bury,Gillingham FC,2,1
1,1999-08-06 00:00:00,Cardiff,Millwall,1,1
1,1999-08-06 00:00:00,Chesterfield,Colchester,0,1
1,1999-08-06 00:00:00,Notts County,Luton,0,0
1,1999-08-06 00:00:00,Oldham,Preston,0,1
1,1999-08-06 00:00:00,Reading,Bristol City,2,1
1,1999-08-06 00:00:00,Stoke City,Oxford Utd,1,2
1,1999-08-06 00:00:00,Wigan,Scunthorpe,3,0
1,1999-08-06 00:00:00,Wycombe,Burnley,1,1
2,1999-08-13 00:00:00,Brentford,Oldham,2,0
2,1999-08-13 00:00:00,Bristol City,Bournemouth,3,1
2,1999-08-13 00:00:00,Burnley,Chesterfield,2,1
2,1999-08-13 00:00:00,Cambridge Utd,Reading,3,1
2,1999-08-13 00:00:00,Colchester,Notts County,0,3
2,1999-08-13 00:00:00,Gillingham FC,Bristol Rovers,0,1
2,1999-08-13 00:00:00,Luton,Blackpool,3,2
2,1999-08-13 00:00:00,Millwall,Wigan,3,3
2,1999-08-13 00:00:00,Oxford Utd,Cardiff,2,3
2,1999-08-13 00:00:00,Preston,Stoke City,2,1
2,1999-08-13 00:00:00,Scunthorpe,Wycombe,0,1
2,1999-08-13 00:00:00,Wrexham,Bury,1,0
3,1999-08-19 00:00:00,Cardiff,Wrexham,1,1
3,1999-08-20 00:00:00,Blackpool,Gillingham FC,1,1
3,1999-08-20 00:00:00,Bournemouth,Colchester,4,0
3,1999-08-20 00:00:00,Bristol Rovers,Oxford Utd,1,0
3,1999-08-20 00:00:00,Bury,Brentford,2,2
3,1999-08-20 00:00:00,Chesterfield,Cambridge Utd,4,2
3,1999-08-20 00:00:00,Notts County,Scunthorpe,3,0
3,1999-08-20 00:00:00,Oldham,Burnley,0,1
3,1999-08-20 00:00:00,Reading,Luton,1,2
3,1999-08-20 00:00:00,Wigan,Bristol City,2,1
3,1999-08-20 00:00:00,Wycombe,Preston,1,1
3,1999-08-21 00:00:00,Stoke City,Millwall,3,1
4,1999-08-27 00:00:00,Brentford,Blackpool,2,0
4,1999-08-27 00:00:00,Bristol City,Bury,1,1
4,1999-08-27 00:00:00,Burnley,Stoke City,1,0
4,1999-08-27 00:00:00,Cambridge Utd,Notts County,1,1
4,1999-08-27 00:00:00,Colchester,Reading,3,2
4,1999-08-27 00:00:00,Gillingham FC,Wycombe,2,2
4,1999-08-27 00:00:00,Luton,Cardiff,1,0
4,1999-08-27 00:00:00,Millwall,Chesterfield,1,1
4,1999-08-27 00:00:00,Oxford Utd,Oldham,1,0
